epoch;accuracy;loss;precision;recall;val_accuracy;val_loss;val_precision;val_recall
0;0.8334879279136658;0.3176710903644562;0.6490801572799683;0.49766528606414795;0.8899943232536316;0.2686067521572113;0.6804773211479187;0.8817606568336487
1;0.9017099738121033;0.19995607435703278;0.7884299159049988;0.7444568872451782;0.8722470998764038;0.3593834638595581;0.7552364468574524;0.5649058222770691
2;0.9136516451835632;0.18043018877506256;0.8077982068061829;0.7873668074607849;0.7979815602302551;0.9605615735054016;0.8868696689605713;0.025737769901752472
3;0.9201179146766663;0.17412897944450378;0.824804425239563;0.7998954653739929;0.8508266806602478;0.36540132761001587;0.7339531183242798;0.43633416295051575
4;0.9256609678268433;0.16381202638149261;0.8367488980293274;0.8146215081214905;0.820961594581604;0.7139576077461243;0.9572227597236633;0.13990482687950134
5;0.9277088046073914;0.16031795740127563;0.8394609093666077;0.8224607706069946;0.934502363204956;0.14347127079963684;0.836058497428894;0.8497105240821838
6;0.9282927513122559;0.1579689234495163;0.8446609377861023;0.8183732628822327;0.9380447864532471;0.13737361133098602;0.8271151781082153;0.8852711319923401
7;0.9305047988891602;0.15562576055526733;0.8479658365249634;0.8262839317321777;0.9150682687759399;0.20482055842876434;0.7495156526565552;0.8847156167030334
8;0.9333711862564087;0.14963467419147491;0.8562153577804565;0.8309434652328491;0.8981583118438721;0.21053262054920197;0.8641242384910583;0.6018345355987549
9;0.9308430552482605;0.15254303812980652;0.848265528678894;0.8277393579483032;0.9178599119186401;0.17271162569522858;0.9095110893249512;0.6691085696220398
10;0.9343483448028564;0.1486864686012268;0.8587727546691895;0.8328846096992493;0.9323821067810059;0.1575854867696762;0.8999041318893433;0.7570143938064575
11;0.9360869526863098;0.1439315527677536;0.8598384261131287;0.841080367565155;0.9348262548446655;0.14315885305404663;0.8473032116889954;0.8351722955703735
12;0.9346830248832703;0.14626167714595795;0.8569120764732361;0.8372915983200073;0.9360064268112183;0.14274123311042786;0.9125798344612122;0.7634955048561096
13;0.9373113512992859;0.14197833836078644;0.8644654750823975;0.8416163921356201;0.9169918894767761;0.18851512670516968;0.7511570453643799;0.8947799205780029
14;0.9370648264884949;0.14182206988334656;0.8625594973564148;0.8427826166152954;0.9176726341247559;0.19164863228797913;0.7670705318450928;0.8640314936637878
