epoch;accuracy;loss;precision;recall;val_accuracy;val_loss;val_precision;val_recall
0;0.6118664741516113;0.687453031539917;0.7557333111763;0.6430742740631104;0.6013520956039429;0.6915567517280579;0.6013506650924683;1.0
1;0.8027986884117126;0.658051073551178;0.8118136525154114;0.928219735622406;0.6013485193252563;0.6895939707756042;0.6013485193252563;1.0
2;0.8312822580337524;0.6169488430023193;0.850588321685791;0.9152696132659912;0.6013485193252563;0.6873508095741272;0.6013485193252563;1.0
3;0.8416939377784729;0.573298990726471;0.8481544852256775;0.9374848008155823;0.6013485193252563;0.6854726076126099;0.6013485193252563;1.0
4;0.8462719917297363;0.5297878980636597;0.8492788076400757;0.9438047409057617;0.6013485193252563;0.685099720954895;0.6013485193252563;1.0
5;0.8458460569381714;0.489149808883667;0.842087984085083;0.9547218680381775;0.6013485193252563;0.6865031719207764;0.6013485193252563;1.0
6;0.844341516494751;0.4558192789554596;0.8374413251876831;0.9598113894462585;0.6013485193252563;0.6897414922714233;0.6013485193252563;1.0
7;0.846677303314209;0.4266971945762634;0.8395828604698181;0.9603990316390991;0.6013485193252563;0.6873612403869629;0.6013485193252563;1.0
8;0.8487040400505066;0.40554091334342957;0.8404284715652466;0.9626187086105347;0.6013485193252563;0.6887677311897278;0.6013485193252563;1.0
9;0.8526255488395691;0.3909009099006653;0.850684404373169;0.9527910351753235;0.6013485193252563;0.6783134341239929;0.6013485193252563;1.0
10;0.8617736101150513;0.36798524856567383;0.8590404987335205;0.9556819796562195;0.6013485193252563;0.6771098375320435;0.6013485193252563;1.0
11;0.8661595582962036;0.35335177183151245;0.8692668080329895;0.9477892518043518;0.6013485193252563;0.6753751039505005;0.6013485193252563;1.0
12;0.8732280731201172;0.3375873267650604;0.8787699937820435;0.9460427761077881;0.6013571619987488;0.6628638505935669;0.6013544201850891;0.9999940395355225
13;0.8738256692886353;0.32962507009506226;0.8872261047363281;0.9352843165397644;0.7466717958450317;0.6533623933792114;0.7314208745956421;0.9145621061325073
14;0.8764455914497375;0.31769347190856934;0.8879269957542419;0.938694953918457;0.7179242372512817;0.6545335054397583;0.6965047121047974;0.9409286379814148
